Key,BERTScore
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.5922756195068359
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.5955551862716675
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.6898377537727356
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.5868398547172546
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.5754091739654541
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.6066758632659912
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.5913659334182739
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.537649393081665
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.5765553116798401
What are the main signs of Langerhans cell histiocytosis in children?,0.49399372935295105
What's the part of the brain related with short term memory?,0.688772439956665
According to Freud what is called the most primitive part of the brain?,0.4933955669403076
Name 3 types of therapies for a patient.,0.2913781702518463
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.4792068600654602
What is a bacteria?,0.45041778683662415
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.631011426448822
What diseases are caused by pathogenic bacteria?,0.6918101906776428
Which type of hearing loss do you expect an ex miner to have?,0.5972597002983093
Can patients with unilateral hearing loss benefit from cochlear implant?,0.6781322956085205
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.5711874961853027
"With blood having different types of cells, why do you think blood is red?",0.520018994808197
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.553302526473999
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.5539939999580383
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.34544822573661804
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.5125101804733276
What is your opinion for Advanced Nurses Practitioner In ICU?,0.40032678842544556
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.5989915132522583
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.48106053471565247
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.5491571426391602
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.5536064505577087
What findings could be appear on the RxTx of the previous patient?,0.5295825004577637
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.5579932332038879
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.5801856517791748
What is the sexually transmitted disease HPV?,0.610003650188446
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.4354701638221741
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.5927534103393555
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.569953203201294
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.5259494185447693
What are the most encountered barriers in clinical research related to Bioethics?,0.5154114961624146
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.5681875944137573
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.42636537551879883
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.6548823714256287
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.6397610306739807
What sign is observed in the barium esophagram in patients with achalasia?,0.7566437125205994
What are the cardinal symptoms of laryngotracheitis?,0.6955515146255493
What is the contraception method of election when a woman can't take estrogen?,0.6548510193824768
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.5441840887069702
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.43931666016578674
"During a squat, if the knees fall inwards which muscle are weak?",0.5010834336280823
If a patient's X ray has dark spots on the chest what does it mean?,0.4664095640182495
Describe treatment methods of congenital Talipes equinovarus.,0.5584972500801086
What are the most common injuries in childhood among Hispanic families?,0.4859263598918915
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.5105852484703064
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.5724297165870667
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.6119546294212341
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.6471844911575317
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.5641023516654968
What kind of advice can I give to a parent with a child with vocal nodules?,0.48525282740592957
What classroom strategies are there for DLD?,0.5472072958946228
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.5795875787734985
What is the diagnostic criteria for Anorexia Nervosa?,0.6322188973426819
What is the evidence base for CBT for depression?,0.5459088683128357
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.5074716806411743
What is the condition that is associated with Carhartt’s Notch?,0.5236849784851074
What are the two types of hearing loss?,0.6779786348342896
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.5262556672096252
